,hab,agglomerative_cluster
1460,фонд,2
1461,tv,1
1462,preply,0
1463,payture,0
1464,interaktiv,1
1465,cleverpumpkin,0
1466,открытый,0
1467,фактор,0
1468,indexisto,0
1469,груп,0
1470,ntechlab,0
1471,lookfun,0
1472,mobisoft,0
1473,callsfreecalls,1
1474,mindfields,0
1475,обещание,0
1476,викимедиа,1
1477,devim,0
1478,dou,1
1479,smscoin,0
1480,ecoisme,0
1481,eleven,0
1482,ру,1
1483,шопинг,0
1484,хотридер,0
1485,bada,0
1486,универ,0
1487,electromobiler,0
1488,arcserve,0
1489,limited,1
1490,digitalsecuritylab,0
1491,taucraft,0
1492,айхора,0
1493,farm,0
1494,reefeed,0
1495,parking,0
1496,флоксить,0
